Book_Name,Category,Rating,Price
It's Only the Himalayas,Travel,2,45.17
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,4,49.43
See America: A Celebration of Our National Parks & Treasured Sites,Travel,3,48.87
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,2,36.94
Under the Tuscan Sun,Travel,3,37.33
A Summer In Europe,Travel,2,44.34
The Great Railway Bazaar,Travel,1,30.54
A Year in Provence (Provence #1),Travel,4,56.88
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,1,23.21
Neither Here nor There: Travels in Europe,Travel,3,38.95
"1,000 Places to See Before You Die",Travel,5,26.08
Sharp Objects,Mystery,4,47.82
"In a Dark, Dark Wood",Mystery,1,19.63
The Past Never Ends,Mystery,4,56.50
A Murder in Time,Mystery,1,16.64
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,4,44.10
The Last Mile (Amos Decker #2),Mystery,2,54.21
That Darkness (Gardiner and Renner #1),Mystery,1,13.92
Tastes Like Fear (DI Marnie Rome #3),Mystery,1,10.69
A Time of Torment (Charlie Parker #14),Mystery,5,48.35
A Study in Scarlet (Sherlock Holmes #1),Mystery,2,16.73
Poisonous (Max Revere Novels #3),Mystery,3,26.80
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,4,54.36
Most Wanted,Mystery,3,35.28
Hide Away (Eve Duncan #20),Mystery,1,11.84
Boar Island (Anna Pigeon #19),Mystery,3,59.48
The Widow,Mystery,2,27.26
Playing with Fire,Mystery,3,13.71
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,5,25.37
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,5,52.30
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,4,20.89
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,Four,24.80
In the Woods (Dublin Murder Squad #1),Mystery,Two,38.38
The Silkworm (Cormoran Strike #2),Mystery,Five,23.05
The Exiled,Mystery,Three,43.45
The Cuckoo's Calling (Cormoran Strike #1),Mystery,One,19.21
Extreme Prey (Lucas Davenport #26),Mystery,Three,25.40
Career of Evil (Cormoran Strike #3),Mystery,Two,24.72
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,Four,57.70
The Girl You Lost,Mystery,Five,12.29
The Girl In The Ice (DCI Erika Foster #1),Mystery,Three,15.85
Blood Defense (Samantha Brinkman #1),Mystery,Three,20.30
1st to Die (Women's Murder Club #1),Mystery,One,53.98
Tipping the Velvet,Historical Fiction,1,53.74
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,3,29.69
A Flight of Arrows (The Pathfinders #2),Historical Fiction,5,55.53
The House by the Lake,Historical Fiction,1,36.95
Mrs. Houdini,Historical Fiction,5,30.25
The Marriage of Opposites,Historical Fiction,4,28.08
Glory over Everything: Beyond The Kitchen House,Historical Fiction,3,45.84
"Love, Lies and Spies",Historical Fiction,2,20.55
A Paris Apartment,Historical Fiction,4,39.01
Lilac Girls,Historical Fiction,2,17.28
The Constant Princess (The Tudor Court #1),Historical Fiction,3,16.62
The Invention of Wings,Historical Fiction,1,37.34
World Without End (The Pillars of the Earth #2),Historical Fiction,4,32.97
The Passion of Dolssa,Historical Fiction,5,28.32
Girl With a Pearl Earring,Historical Fiction,1,26.77
Voyager (Outlander #3),Historical Fiction,5,21.07
The Red Tent,Historical Fiction,5,35.66
The Last Painting of Sara de Vos,Historical Fiction,2,55.55
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,1,49.53
Girl in the Blue Coat,Historical Fiction,2,46.83
Between Shades of Gray,Historical Fiction,Five,20.79
While You Were Mine,Historical Fiction,Five,41.32
The Secret Healer,Historical Fiction,Three,34.56
Starlark,Historical Fiction,Three,25.83
Lost Among the Living,Historical Fiction,Four,27.70
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,Five,16.97
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,5,52.29
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,1,16.28
This One Summer,Sequential Art,4,19.49
The Nameless City (The Nameless City #1),Sequential Art,4,38.16
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,2,51.04
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,3,50.40
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,5,13.61
"Pop Gun War, Volume 1: Gift",Sequential Art,1,18.97
Patience,Sequential Art,3,10.16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,4,15.44
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,1,48.41
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,2,46.91
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,3,45.61
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,2,19.92
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,2,29.17
I am a Hero Omnibus Volume 1,Sequential Art,3,54.63
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,2,22.11
Danganronpa Volume 1,Sequential Art,4,51.99
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,4,36.72
Camp Midnight,Sequential Art,4,17.08
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,Two,37.92
The Shadow Hero (The Shadow Hero),Sequential Art,One,33.14
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,Four,41.62
Batman: The Long Halloween (Batman),Sequential Art,Two,36.50
Batman: The Dark Knight Returns (Batman),Sequential Art,Five,15.38
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,Four,37.34
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,One,53.90
Through the Woods,Sequential Art,Two,25.38
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,Five,11.89
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,Four,35.43
Robin War,Sequential Art,Three,47.82
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,Two,25.48
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,Two,38.39
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,Two,51.51
El Deafo,Sequential Art,Five,57.62
Batman: Europa,Sequential Art,Two,32.01
Art Ops Vol. 1,Sequential Art,Three,48.80
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,Two,10.90
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,Four,33.95
Roller Girl,Sequential Art,Five,14.10
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,One,19.57
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,Four,20.96
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,Three,36.39
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,One,16.33
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,One,52.41
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,Two,27.88
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,Four,50.44
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,Three,14.41
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,Five,55.55
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,Five,21.57
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,Three,43.63
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,One,39.13
Original Fake,Sequential Art,Three,31.45
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,One,42.72
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,Two,45.17
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,One,49.31
Awkward,Sequential Art,Two,38.02
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,One,54.81
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,Three,11.75
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,Five,11.64
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,Four,18.51
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,Two,36.52
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,Three,54.12
The Complete Maus (Maus #1-2),Sequential Art,Three,10.64
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,Three,42.12
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,One,28.48
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,Five,46.96
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Sequential Art,Four,21.71
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Sequential Art,Three,29.87
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Sequential Art,Four,39.39
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Sequential Art,Three,45.24
"Giant Days, Vol. 1 (Giant Days #1-4)",Sequential Art,Four,56.76
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Sequential Art,Five,40.28
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Sequential Art,Five,34.65
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Sequential Art,Four,57.06
The Secret Garden,Classics,4,15.08
The Metamorphosis,Classics,1,28.58
The Pilgrim's Progress,Classics,2,50.26
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,2,14.82
Little Women (Little Women #1),Classics,4,28.07
Gone with the Wind,Classics,3,32.49
Candide,Classics,3,58.63
Animal Farm,Classics,3,57.22
Wuthering Heights,Classics,3,17.73
The Picture of Dorian Gray,Classics,2,29.70
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,4,26.78
Beowulf,Classics,2,38.35
And Then There Were None,Classics,2,35.01
The Story of Hong Gildong,Classics,4,43.19
The Little Prince,Classics,2,45.42
Sense and Sensibility,Classics,1,37.46
Of Mice and Men,Classics,2,47.11
Emma,Classics,2,32.93
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,1,55.53
Sophie's World,Philosophy,5,15.94
The Death of Humanity: and the Case for Life,Philosophy,4,58.11
The Stranger,Philosophy,4,17.44
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,1,54.21
Kierkegaard: A Christian Missionary to Christians,Philosophy,1,47.13
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,5,29.93
Critique of Pure Reason,Philosophy,1,20.75
"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,1,20.02
The Nicomachean Ethics,Philosophy,1,36.34
Meditations,Philosophy,2,25.89
Beyond Good and Evil,Philosophy,1,43.38
Chase Me (Paris Nights #2),Romance,5,25.27
Black Dust,Romance,5,34.53
Her Backup Boyfriend (The Sorensen Family #1),Romance,1,33.97
First and First (Five Boroughs #3),Romance,4,15.97
Fifty Shades Darker (Fifty Shades #2),Romance,1,21.96
The Wedding Dress,Romance,1,24.12
Suddenly in Love (Lake Haven #1),Romance,2,55.99
Something More Than This,Romance,4,16.24
Doing It Over (Most Likely To #1),Romance,3,35.61
The Wedding Pact (The O'Malleys #2),Romance,3,32.61
Hold Your Breath (Search and Rescue #1),Romance,1,28.82
Dirty (Dive Bar #1),Romance,4,40.83
Take Me Home Tonight (Rock Star Romance #3),Romance,3,53.98
Off the Hook (Fishing for Trouble #1),Romance,3,47.67
A Gentleman's Position (Society of Gentlemen #3),Romance,5,14.75
"Sit, Stay, Love",Romance,3,20.90
A Girl's Guide to Moving On (New Beginnings #2),Romance,1,31.30
The Perfect Play (Play by Play #1),Romance,3,59.99
Dark Lover (Black Dagger Brotherhood #1),Romance,1,12.87
Changing the Game (Play by Play #2),Romance,3,13.38
A Walk to Remember,Romance,One,56.43
The Purest Hook (Second Circle Tattoos #3),Romance,One,12.25
The Obsession,Romance,One,45.43
Reservations for Two,Romance,Three,11.10
Best of My Love (Fool's Gold #20),Romance,Two,27.41
Where Lightning Strikes (Bleeding Stars #3),Romance,Three,39.77
This One Moment (Pushing Limits #1),Romance,One,48.71
"Rhythm, Chord & Malykhin",Romance,Two,28.34
My Perfect Mistake (Over the Top #1),Romance,Two,38.92
Listen to Me (Fusion #1),Romance,Three,58.99
Imperfect Harmony,Romance,Four,34.74
Fighting Fate (Fighting #6),Romance,Three,39.24
Deep Under (Walker Security #1),Romance,Five,47.09
Charity's Cross (Charles Towne Belles #4),Romance,One,41.24
Bounty (Colorado Mountain #7),Romance,Four,37.26
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,4,57.36
Will You Won't You Want Me?,Womens Fiction,3,13.86
Keep Me Posted,Womens Fiction,4,20.46
Grey (Fifty Shades #4),Womens Fiction,4,48.49
Meternity,Womens Fiction,3,43.58
Some Women,Womens Fiction,5,13.73
Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,5,48.39
Can You Keep a Secret?,Womens Fiction,1,21.94
Twenties Girl,Womens Fiction,2,42.80
The Undomestic Goddess,Womens Fiction,4,45.75
The Nanny Diaries (Nanny #1),Womens Fiction,5,52.53
The Devil Wears Prada (The Devil Wears Prada #1),Womens Fiction,1,44.29
Something Borrowed (Darcy & Rachel #1),Womens Fiction,5,48.96
Something Blue (Darcy & Rachel #2),Womens Fiction,1,54.62
I've Got Your Number,Womens Fiction,1,19.69
The Edge of Reason (Bridget Jones #2),Womens Fiction,4,19.18
Bridget Jones's Diary (Bridget Jones #1),Womens Fiction,1,29.82
Soumission,Fiction,1,50.10
Private Paris (Private #10),Fiction,5,47.61
"We Love You, Charlie Freeman",Fiction,5,50.27
Thirst,Fiction,5,17.27
The Murder That Never Was (Forensic Instincts #5),Fiction,3,54.11
Tuesday Nights in 1980,Fiction,2,21.04
The Vacationers,Fiction,4,42.15
The Regional Office Is Under Attack!,Fiction,5,51.36
Finders Keepers (Bill Hodges Trilogy #2),Fiction,5,53.53
The Time Keeper,Fiction,5,27.88
The Testament of Mary,Fiction,4,52.67
The First Hostage (J.B. Collins #2),Fiction,3,25.85
Take Me with You,Fiction,3,45.21
Still Life with Bread Crumbs,Fiction,3,26.41
Shtum,Fiction,4,55.84
My Name Is Lucy Barton,Fiction,1,41.56
My Mrs. Brown,Fiction,3,24.48
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,1,28.90
I Am Pilgrim (Pilgrim #1),Fiction,4,10.60
Eligible (The Austen Project #4),Fiction,3,27.09
Eight Hundred Grapes,Fiction,Four,14.39
Dear Mr. Knightley,Fiction,Five,11.21
Cometh the Hour (The Clifton Chronicles #6),Fiction,Three,25.01
Balloon Animals,Fiction,Three,17.03
A Man Called Ove,Fiction,One,39.72
The Silent Sister (Riley MacPherson #1),Fiction,Five,46.29
The Dinner Party,Fiction,Two,56.54
The Improbability of Love,Fiction,One,59.45
Mothering Sunday,Fiction,Two,13.34
Lies and Other Acts of Love,Fiction,One,45.14
Daredevils,Fiction,Three,16.34
11/22/63,Fiction,Three,48.48
The Shack,Fiction,One,28.03
The High Mountains of Portugal,Fiction,One,51.15
Miller's Valley,Fiction,Two,58.54
Hystopia: A Novel,Fiction,Four,21.96
The Bourne Identity (Jason Bourne #1),Fiction,Four,42.78
Sister Dear,Fiction,Four,40.20
Memoirs of a Geisha,Fiction,Three,49.67
Me Before You (Me Before You #1),Fiction,One,19.02
Deception Point,Fiction,Four,40.32
The Little Paris Bookshop,Fiction,Three,24.73
The Firm,Fiction,Three,45.56
The Expatriates,Fiction,Two,44.58
Siddhartha,Fiction,Five,34.22
Last One Home (New Beginnings #1),Fiction,Three,59.98
Digital Fortress,Fiction,Five,58.00
Atlas Shrugged,Fiction,Five,26.58
Three-Martini Lunch,Fiction,Three,23.21
The Nightingale,Fiction,Four,26.26
The Infinities,Fiction,One,27.41
The Husband's Secret,Fiction,Five,52.51
The Da Vinci Code (Robert Langdon #2),Fiction,Two,22.96
The Art of Fielding,Fiction,One,22.10
Lila (Gilead #3),Fiction,Three,12.47
Jurassic Park (Jurassic Park #1),Fiction,One,44.97
Inferno (Robert Langdon #4),Fiction,Five,41.00
Crazy Rich Asians (Crazy Rich Asians #1),Fiction,Five,49.13
Big Little Lies,Fiction,One,22.11
The Course of Love,Fiction,Three,16.78
When I'm Gone,Fiction,Three,51.96
The Silent Wife,Fiction,Five,12.34
The Bette Davis Club,Fiction,Three,30.66
Kitchens of the Great Midwest,Fiction,Five,57.20
Bright Lines,Fiction,Five,39.07
Birdsong: A Story in Pictures,Childrens,3,54.64
The Bear and the Piano,Childrens,1,36.89
The Secret of Dreadwillow Carse,Childrens,1,56.13
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Childrens,4,58.08
Little Red,Childrens,3,13.47
Walt Disney's Alice in Wonderland,Childrens,5,12.96
Twenty Yawns,Childrens,2,22.08
Rain Fish,Childrens,3,23.57
Once Was a Time,Childrens,2,18.28
Luis Paints the World,Childrens,3,53.95
Nap-a-Roo,Childrens,1,25.08
The Whale,Childrens,4,35.96
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,3,52.87
Raymie Nightingale,Childrens,2,34.41
Playing from the Heart,Childrens,1,32.38
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,1,22.54
The Wild Robot,Childrens,3,56.07
The Thing About Jellyfish,Childrens,1,48.77
The Lonely Ones,Childrens,5,43.59
The Day the Crayons Came Home (Crayons),Childrens,5,26.33
The Cat in the Hat (Beginner Books B-1),Childrens,Two,16.26
Red: The True Story of Red Riding Hood,Childrens,Three,28.54
Horrible Bear!,Childrens,Two,37.52
Green Eggs and Ham (Beginner Books B-16),Childrens,Four,10.79
Counting Thyme,Childrens,One,10.62
Are We There Yet?,Childrens,Three,10.66
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Childrens,Four,52.88
Matilda,Childrens,One,28.34
Charlie and the Chocolate Factory (Charlie Bucket #1),Childrens,Three,22.85
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,2,37.97
You Are What You Love: The Spiritual Power of Habit,Religion,4,21.87
God: The Most Unpleasant Character in All Fiction,Religion,5,30.03
The Book of Mormon,Religion,3,24.57
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Religion,1,27.62
The Bhagavad Gita,Religion,3,57.49
Choosing Our Religion: The Spiritual Lives of America's Nones,Religion,4,28.42
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,5,40.30
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,3,31.05
Reasons to Stay Alive,Nonfiction,2,26.41
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,5,23.11
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,4,44.18
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,3,31.12
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,3,16.77
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,1,37.13
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,1,56.06
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,4,41.83
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,2,19.83
In the Country We Love: My Family Divided,Nonfiction,4,22.00
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,2,54.35
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,5,29.14
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,1,30.81
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,2,43.54
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,2,38.21
The Genius of Birds,Nonfiction,1,17.24
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,5,38.49
So You've Been Publicly Shamed,Nonfiction,2,12.23
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,Three,19.43
Big Magic: Creative Living Beyond Fear,Nonfiction,Three,30.80
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,Two,27.43
Agnostic: A Spirited Manifesto,Nonfiction,Five,12.51
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,Four,38.20
